Feature ID	Taxon	Consensus
00a9c3254a9793d7eccdc177ac77009a	d__Eukaryota; p__Apusomonadidae; c__Apusomonadidae; o__Apusomonadidae; f__Apusomonadidae; g__Amastigomonas; s__uncultured_eukaryote	1.0
00aa968312c490c85b77f94504c14e9d	Unassigned	1.0
00abfea36e69425a7c73d54b410549b5	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales; g__Amoebophrya; s__uncultured_eukaryote	1.0
00aebd81a604212748f4827e8c04e144	Unassigned	1.0
00aee5cb254fecb901ce3634db218f59	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__SG8-5; f__SG8-5; g__SG8-5; s__uncultured_archaeon	0.667
00afb8a939560f2be73f9ab29cb1eb99	Unassigned	1.0
00afde3373462d6dcc31c4e9fc6130af	Unassigned	1.0
00b24e16e61b16b97f0bb6d6687f51bf	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales	0.8
00b58f74a774cd7d832f302b6a07c53d	d__Bacteria; p__Planctomycetota; c__ODP123; o__ODP123; f__ODP123; g__ODP123	1.0
00b6445d42a738f0a8f1bea981f12a47	Unassigned	1.0
00b6942031d860c7437e1234b133b5e3	Unassigned	1.0
00b7e6d809caa1fba86893b0458c53ab	Unassigned	1.0
00ba73185b2b60c682167cf0694c5b79	Unassigned	1.0
00bacbdf91de872d8c5bb25c679416cf	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros	1.0
